Employee_No,Net Salary
347,290857.395
348,502334.5
351,136735.93
352,282376.95499999996
354,566526.29
355,1406854.82
356,474958.73
359,94408.825
361,486956.82
373,447133.62999999995
376,473553.42500000005
377,426165.95
380,279732.95999999996
381,508292.26499999996
383,381469.30999999994
384,555032.765
385,457545.76999999996
389,226454.16
392,342752.595
393,1203337.925
394,154314.96
396,249231.59000000003
399,97329.04999999999
400,451889.55500000005
401,365732.94499999995
404,717194.065
408,546129.72
411,347961.78
413,55960.48
415,93760.75
417,201337.96
420,312873.53
421,244898.87
423,365750.1
424,59490.119999999995
425,282076.345
426,118072.58
427,647481.0700000001
431,223293.0
433,248634.665
435,539440.925
436,511540.15499999997
437,411781.78
438,519046.6
440,485589.76
443,0.0
446,76481.9
448,45465.399999999994
450,37412.9
453,492734.17
455,180549.6
461,45799.05
463,231712.5975
466,116012.06666666667
468,276704.39999999997
471,196040.275
475,26356.4
476,237861.88
481,375819.66
486,99149.8
487,528211.8933333333
495,287265.73333333334
496,540470.5
501,106750.79999999999
504,44954.6
510,258739.765
516,353121.35
517,664820.7150000001
521,46471.35
523,51570.666666666664
532,13095.6
534,78467.53333333333
537,647656.925
545,915807.45
547,0.0
549,54032.6
550,574004.845
551,376809.135
557,0.0
565,76350.0
582,793546.4450000001
583,647293.365
584,625509.375
593,547956.01
596,320706.75
597,609787.5
601,89472.91
604,79375.0
606,380507.815
610,332105.83499999996
611,201640.635
612,107247.08
614,20599.52
615,292029.32
616,184155.505
618,127898.44
619,28375.0
620,252735.27333333335
621,243100.01
624,921040.38
626,101949.70000000001
627,370570.45999999996
628,664556.9299999999
629,221483.68
634,508299.22
636,566817.97
637,262321.25
639,577406.665
644,140102.915
645,462822.92
646,623318.75
648,623241.46
650,510473.12
653,329820.46499999997
656,98226.88
659,623020.16
661,98719.38500000001
662,93503.11
664,802556.685
667,397293.23
668,23883.68
669,144041.34
671,238718.22999999998
673,1366624.98
677,88201.375
678,29784.8
680,29439.600000000002
682,48487.8
683,91046.08
685,56797.4
686,31758.2
690,146890.625
694,446782.87
695,21306.8
696,39025.95
697,64007.600000000006
698,245551.0
699,518004.545
700,218330.83333333334
701,89755.66666666667
702,0.0
703,0.0
705,25693.79
706,14593.6
707,5736.88
708,136316.30000000002
709,92151.55
710,14530.0
712,456013.965
713,783600.835
715,206515.82
717,164258.33000000002
718,169241.66499999998
719,47075.8
721,18932.0
724,24023.38
727,32049.3
735,56372.38
736,796590.22
738,102901.48
739,90357.5
740,63569.799999999996
741,216628.0
742,19714.2
743,15749.4
744,19945.88
747,371848.54
749,119319.63666666667
754,106716.8
755,90109.09999999999
757,95655.78000000001
758,198375.0
760,203370.2666666667
761,93442.26666666668
762,0.0
763,58463.1
769,5708.29
772,116752.2
776,52079.93
778,172095.5
779,33046.6
781,99477.33333333333
783,62978.26666666666
784,57793.7
786,92013.755
788,31826.899999999998
791,29360.1
798,83043.8
801,112930.9
802,9724.0
805,42754.7
806,38810.100000000006
808,214412.6
809,197329.2666666667
810,39593.4
811,159734.46666666667
813,137975.625
814,0.0
816,31875.2
817,53585.63
818,48469.2
819,39723.2
821,228721.33333333334
822,7329.6
823,10242.0
824,103524.63
826,177134.79999999996
828,371384.8
829,72326.66666666667
830,105780.0
832,120681.53333333333
835,218382.71
838,18750.0
839,6931.2
840,35780.2
841,18721.6
846,215255.0
848,139380.06666666665
852,241671.66666666666
853,40228.270000000004
854,316870.15
858,163230.0
859,142913.33333333334
860,13553.55
862,103167.70499999999
864,0.0
866,161355.0
868,142080.0
869,262155.0
871,73229.0
872,190572.8666666667
874,47563.2
875,58872.1
876,74382.8
877,30935.0
878,81653.59999999999
879,0.0
880,42497.5
882,103295.83333333333
883,68756.9
884,18652.8
886,13140.0
887,31937.6
890,58933.0
891,103132.59999999999
894,14739.2
895,67891.5
896,88143.46666666666
897,11670.4
898,14935.2
900,97889.26666666666
902,101941.73333333334
903,49440.8
905,78247.13333333335
906,93140.73333333334
907,0.0
908,210997.46666666667
909,34570.7
910,20597.1
918,90620.3
921,91817.59999999999
923,78347.82
925,419935.93999999994
928,0.0
932,47043.200000000004
933,31606.5
934,28086.299999999996
941,178025.025
942,281853.73000000004
945,1173373.335
947,648746.6699999999
948,618778.695
950,376036.535
959,29937.800000000003
962,58977.7
964,28435.300000000003
966,44053.4
967,32447.9
968,29237.5
969,19472.0
975,101541.67
983,62426.2
986,72571.3
987,95899.195
992,72490.06666666667
993,34796.0
994,67187.3
995,245701.46499999997
996,35344.8
998,242360.155
999,142736.92
1001,228738.81
1002,37138.93
1004,35442.4
1005,854830.835
1008,226506.1333333333
1009,22811.25
1013,86295.40000000001
1016,24737.5
1017,1500.0
1020,9000.0
1021,46462.5
1023,33185.4
1024,30534.3
1025,37068.6
1036,39691.1
1039,46320.1
1041,42910.799999999996
1043,5345.2
1047,2888.0
1054,72041.05
1060,83191.3
1061,12125.0
1064,32909.5
1067,23250.0
1071,353773.79500000004
1072,149426.66666666666
1073,406569.77499999997
1075,258748.7333333333
1080,330656.94333333336
1081,341032.55
1082,18260.25
1085,46022.4
1086,249187.5
1089,189134.79333333333
1093,95783.40000000001
1094,87636.33333333333
1095,9256.0
1096,37511.0
1097,208471.66666666666
1098,515344.32999999996
1099,171619.8
1101,23407.800000000003
1103,144733.46666666667
1104,40025.0
1105,1870.63
1106,142945.6
1109,824395.0
1117,14400.0
1120,240502.93333333335
1121,42500.3
1123,17018.7
1125,48000.0
1126,229076.93000000002
1127,60417.256666666675
1128,309838.95499999996
1130,43233.0
1131,467275.91000000003
1134,39560.63
1137,28753.9
1138,89685.0
1139,22960.0
1141,44879.4
1142,3600.0
1143,61675.05499999999
1146,21320.0
1147,15775.6
1148,39017.3
1150,23607.8
1157,192268.19999999998
1158,1284253.33
1159,44726.7
1160,54200.6
1162,80823.40000000001
1165,9500.0
1170,95175.0
1174,0.0
1177,138812.915
1178,149298.435
1181,66961.0
1182,8750.0
1183,19000.0
1184,78889.5
1188,326781.09
1192,54051.619999999995
1194,33643.3
1195,104150.8
1197,52279.9
1199,25500.0
1205,33044.225
1206,183936.2666666667
1207,76350.38
1208,80409.48000000001
1209,194323.66666666666
1210,172424.3
1211,19544.7
1212,274014.71499999997
1213,19750.0
1214,65635.06666666667
1216,6500.0
1218,58247.200000000004
1219,21000.0
1222,418595.59
1228,15500.0
1231,73975.0
1235,26250.0
1236,7500.0
1238,26250.0
1240,43671.2
1241,14760.0
1244,41725.155
1245,51662.200000000004
1246,36840.0
1248,87565.73333333334
1249,54337.1
1250,73310.8
1251,15180.0
1252,60057.9
1256,49475.0
1258,6000.0
1260,44975.0
1261,36986.86
1262,20729.6
1263,64261.494999999995
1267,34198.285
1269,153791.86666666667
1270,14923.6
1271,36375.0
1272,0.0
1273,0.0
1274,22500.0
1275,20000.0
1276,9480.0
1277,12840.0
1278,225108.28666666665
1279,101041.97666666667
1281,33586.0
1282,7200.0
1285,182316.85
1286,133099.06666666665
1290,27282.899999999998
1292,2900.0
1294,49541.25
1295,39444.38
1296,57985.325000000004
1304,90031.03
1306,156337.27
1308,245889.105
1312,46850.0
1313,50962.5
1314,19349.4
1315,30987.5
1318,48108.2
1321,13680.0
1325,134514.52
1327,361734.635
1330,44336.29
1331,414877.095
1334,60801.81
1337,435619.36
1339,44206.4
1341,20691.6
1342,100040.42
1343,19500.0
1344,30775.0
1349,4500.0
1350,22500.0
1351,45133.130000000005
1353,35385.8
1354,35075.0
1357,127190.73333333334
1358,24535.199999999997
1359,62221.6
1360,42546.25
1361,31637.8
1362,139593.02
1363,19800.0
1364,7080.0
1365,53641.8
1366,48688.6
1367,45668.93333333334
1368,16975.2
1369,22980.0
1370,28680.0
1371,31103.75
1372,17293.75
1373,17293.75
1374,1729.38
1375,74611.23999999999
1377,79189.705
1378,17637.4
1379,15717.0
1381,302974.69
1383,76461.25
1385,59745.16
1386,160798.31
1388,359722.365
1390,68537.035
1391,0.0
1392,0.0
1393,30775.0
1394,18752.18
1395,14237.5
1396,7800.0
1398,316776.815
1399,451489.41000000003
1401,7200.0
1402,19743.2
1403,19588.4
1404,3000.0
1405,17277.7
1406,31560.6
1407,41975.0
1408,29987.5
1409,40934.3
1410,19810.04
1411,30912.97
1412,2700.0
1413,4050.0
1414,14175.0
1415,37332.30333333334
1416,28237.5
1417,11459.4
1418,27711.699999999997
1419,8800.0
1420,111169.13333333335
1421,5683.4
1422,23193.1
1423,18870.0
1424,50035.4
1425,91637.66666666667
1426,12180.0
1427,14040.0
1428,6600.0
1429,15093.6
1430,6439.51
1431,190982.47999999998
1432,101953.23000000001
1434,151906.66
1436,645942.655
1439,43523.39
1440,91785.8
1444,259221.665
1446,306835.0
1447,47544.46
