Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Marital_Status
1,1,24,1,2,1965.0,29.084931506849315,0,0.0,1.0,Married
1,1,24,1,2,1973.0,27.82191780821918,0,0.0,1.0,Married
1,1,23,0,2,1974.0,33.44109589041096,0,0.0,1.0,Married
0,4,40,0,2,1974.0,22.350684931506848,0,0.0,1.0,Married
1,1,7,1,2,1980.0,21.945205479452056,0,0.0,1.0,Married
1,1,22,0,2,1962.0,19.27123287671233,0,0.0,1.0,Married
1,1,22,1,2,1969.0,19.156164383561645,1,0.0,1.0,Married
1,1,126,1,2,1981.0,18.887671232876716,0,0.0,1.0,Married
0,1,23,1,2,1974.0,17.5972602739726,0,0.0,1.0,Single
1,1,41,0,2,1967.0,15.597260273972603,0,0.0,1.0,Married
1,1,42,0,3,1976.0,14.693150684931506,0,0.0,1.0,Married
1,3,7,1,2,1986.0,16.17808219178082,0,0.0,1.0,Single
1,1,24,0,2,1975.0,14.005479452054796,0,0.0,1.0,Married
1,1,43,0,2,1984.0,15.147945205479452,0,0.0,1.0,Married
1,1,44,0,2,1973.0,14.136986301369864,0,0.0,1.0,Married
0,1,45,0,3,1963.0,10.75068493150685,0,1.0,0.0,Single
1,1,46,0,2,1981.0,12.416438356164385,0,1.0,0.0,Married
1,1,35,1,2,1990.0,12.191780821917808,0,1.0,0.0,Married
1,1,7,1,2,1961.0,11.783561643835617,0,1.0,0.0,Married
1,5,48,1,2,1982.0,11.169863013698633,1,1.0,0.0,Single
1,1,33,0,2,1965.0,11.12054794520548,0,1.0,0.0,Married
1,1,27,0,2,1991.0,10.942465753424658,0,1.0,0.0,Single
1,1,24,1,2,1978.0,10.931506849315069,0,1.0,0.0,Married
1,5,22,1,2,1982.0,10.8,1,1.0,0.0,Married
1,1,24,1,2,1994.0,10.62191780821918,0,1.0,0.0,Married
1,1,8,1,2,1989.0,10.58082191780822,0,1.0,0.0,Married
1,1,49,1,2,1986.0,10.495890410958904,0,1.0,0.0,Married
1,1,22,0,2,1989.0,10.126027397260271,0,1.0,0.0,Married
1,1,24,1,2,1994.0,10.054794520547944,0,1.0,0.0,Married
1,1,37,0,2,1960.0,9.942465753424658,0,1.0,0.0,Married
1,5,22,1,2,1989.0,9.90958904109589,1,1.0,0.0,Married
1,5,6,1,2,1965.0,9.75890410958904,1,1.0,0.0,Married
1,1,46,0,2,1993.0,8.479452054794521,0,1.0,0.0,Married
1,1,67,1,2,1993.0,9.36986301369863,0,1.0,0.0,Single
1,3,27,0,2,1989.0,7.594520547945206,0,1.0,0.0,Married
1,3,27,1,2,1988.0,8.942465753424658,0,1.0,0.0,Single
1,1,7,1,2,1972.0,8.854794520547944,0,1.0,0.0,Married
1,1,24,0,2,1995.0,8.863013698630137,0,1.0,0.0,Single
1,1,43,0,2,1992.0,8.67123287671233,0,1.0,0.0,Married
1,1,36,1,2,1987.0,8.583561643835617,1,1.0,0.0,Single
1,1,27,0,2,1986.7142857142856,8.56986301369863,0,1.0,0.0,Single
1,3,8,0,2,1990.0,8.295890410958904,0,1.0,0.0,Single
1,1,8,1,2,1990.0,8.257534246575343,0,1.0,0.0,Single
1,1,52,0,2,1995.0,6.317808219178082,0,1.0,0.0,Single
1,1,24,1,2,1992.7142857142856,7.684931506849315,0,1.0,0.0,Married
1,1,35,0,2,1997.0,7.676712328767123,0,1.0,0.0,Single
1,3,54,0,2,1985.0,6.586301369863014,0,1.0,0.0,Single
1,4,36,0,2,1982.0,6.153424657534247,0,1.0,0.0,Single
1,3,27,0,2,1986.0,5.8191780821917805,0,1.0,0.0,Married
1,1,22,0,2,1988.0,5.772602739726027,0,1.0,0.0,Married
1,1,24,1,2,1995.0,7.33972602739726,0,1.0,0.0,Married
1,1,24,0,2,1997.0,6.665753424657535,0,1.0,0.0,Single
0,1,8,0,2,1981.0,5.235616438356164,0,1.0,0.0,Married
1,1,57,1,2,1987.0,6.6438356164383565,0,1.0,0.0,Single
1,1,24,0,2,1988.0,6.605479452054794,0,1.0,0.0,Single
1,1,38,0,2,1965.0,6.046575342465753,0,1.0,0.0,Married
1,1,58,0,2,1962.0,1.3150684931506849,0,1.0,0.0,Married
0,1,48,1,2,1980.0,6.298630136986302,0,1.0,0.0,Married
1,1,62,1,1,1947.0,4.002739726027397,0,1.0,0.0,Married
1,1,63,0,2,1993.0,5.906849315068493,0,1.0,0.0,Married
1,1,64,0,2,1972.0,4.589041095890411,0,1.0,0.0,Married
1,1,22,1,2,1988.0,6.049315068493151,1,1.0,0.0,Single
1,3,27,1,2,1981.0,6.049315068493151,0,1.0,0.0,Married
1,1,8,0,2,1991.0,5.010958904109589,0,1.0,0.0,Married
1,1,59,1,2,1991.0,5.961643835616439,0,1.0,0.0,Single
1,1,113,1,2,1981.0,5.978082191780822,0,1.0,0.0,Single
0,1,59,0,2,1989.0,4.556164383561644,0,1.0,0.0,Single
1,1,6,0,2,1966.0,5.876712328767123,0,1.0,0.0,Married
1,1,31,0,1,1955.0,2.4136986301369863,0,1.0,0.0,Married
1,1,31,0,1,1966.0,1.9424657534246572,0,1.0,0.0,Married
1,1,31,0,1,1976.0,0.347945205479452,0,1.0,0.0,Married
1,1,22,0,3,1985.0,5.841095890410959,0,1.0,0.0,Single
