Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Employee_No,Net Salary,Marital_Status
1,1,24,1,2,1965.0,29.084931506849315,0,0.0,1.0,347,290857.395,1
1,1,24,1,2,1973.0,27.82191780821918,0,0.0,1.0,348,502334.5,1
1,1,23,0,2,1974.0,33.44109589041096,0,0.0,1.0,349,396595.9475,1
0,4,40,0,2,1974.0,22.350684931506848,0,0.0,1.0,351,136735.93,1
1,1,7,1,2,1980.0,21.945205479452056,0,0.0,1.0,352,282376.955,1
1,1,22,0,2,1962.0,19.27123287671233,0,0.0,1.0,353,680036.3675,1
1,1,22,1,2,1969.0,19.156164383561645,1,0.0,1.0,354,566526.29,1
1,1,126,1,2,1981.0,18.887671232876716,0,0.0,1.0,355,1406854.82,1
0,1,23,1,2,1974.0,17.5972602739726,0,0.0,1.0,356,474958.73,0
1,1,41,0,2,1967.0,15.597260273972603,0,0.0,1.0,359,94408.825,1
1,1,42,0,3,1976.0,14.693150684931506,0,0.0,1.0,360,115572.3775,1
1,3,7,1,2,1986.0,16.17808219178082,0,0.0,1.0,361,486956.82,0
1,1,24,0,2,1975.0,14.005479452054796,0,0.0,1.0,363,377345.845,1
1,1,43,0,2,1984.0,15.147945205479452,0,0.0,1.0,365,441855.86,1
1,1,44,0,2,1973.0,14.136986301369864,0,0.0,1.0,366,115572.3775,1
0,1,45,0,3,1963.0,10.75068493150685,0,1.0,0.0,371,188242.585,0
1,1,46,0,2,1981.0,12.416438356164385,0,1.0,0.0,372,441855.86,1
1,1,35,1,2,1990.0,12.191780821917808,0,1.0,0.0,373,447133.63,1
1,1,7,1,2,1961.0,11.783561643835617,0,1.0,0.0,376,473553.4250000001,1
1,5,48,1,2,1982.0,11.169863013698633,1,1.0,0.0,377,426165.95,0
1,1,33,0,2,1965.0,11.12054794520548,0,1.0,0.0,378,228556.4725,1
1,1,27,0,2,1991.0,10.942465753424658,0,1.0,0.0,379,416679.4325,0
1,1,24,1,2,1978.0,10.931506849315069,0,1.0,0.0,380,279732.96,1
1,5,22,1,2,1982.0,10.8,1,1.0,0.0,381,508292.265,1
1,1,24,1,2,1994.0,10.62191780821918,0,1.0,0.0,383,381469.31,1
1,1,8,1,2,1989.0,10.58082191780822,0,1.0,0.0,384,555032.765,1
1,1,49,1,2,1986.0,10.495890410958904,0,1.0,0.0,385,457545.77,1
1,1,22,0,2,1989.0,10.126027397260271,0,1.0,0.0,388,201121.3575,1
1,1,24,1,2,1994.0,10.054794520547944,0,1.0,0.0,389,226454.16,1
