,Employee_No,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Net Salary,Marital_Status
0,347,1,1,24,1,2,0.31666666666667,0.8697361953137802,0,0.0,1.0,0.13865777058404286,1
1,348,1,1,24,1,2,0.45000000000000284,0.8319678846468951,0,0.0,1.0,0.23957045138244953,1
2,349,1,1,23,0,2,0.46666666666666856,1.0,0,0.0,1.0,0.18911411098324618,1
3,351,0,4,40,0,2,0.46666666666666856,0.6683598230378502,0,0.0,1.0,0.06511406379967102,1
4,352,1,1,7,1,2,0.56666666666667,0.6562346387022776,0,0.0,1.0,0.13461107278784384,1
5,353,1,1,22,0,2,0.2666666666666728,0.576273963624447,0,0.0,1.0,0.32436625862743834,1
6,354,1,1,22,1,2,0.38333333333333286,0.5728330329346224,1,0.0,1.0,0.2702015006118607,1
7,355,1,1,126,1,2,0.5833333333333357,0.5648041946583647,0,0.0,1.0,0.6711896109497828,1
8,356,0,1,23,1,2,0.46666666666666856,0.5262166147796166,0,0.0,1.0,0.22650727681506266,0
9,359,1,1,41,0,2,0.3500000000000014,0.4664099623136163,0,0.0,1.0,0.04491640866350088,1
10,360,1,1,42,0,3,0.5,0.43937407832213665,0,0.0,1.0,0.055015236231585954,1
11,361,1,3,7,1,2,0.6666666666666714,0.4837784696051122,0,0.0,1.0,0.23223252743432266,0
12,363,1,1,24,0,2,0.4833333333333343,0.41881042110437494,0,0.0,1.0,0.17992834381039258,1
13,365,1,1,43,0,2,0.6333333333333329,0.45297394723906276,0,0.0,1.0,0.21071124369922656,1
14,366,1,1,44,0,2,0.45000000000000284,0.4227429133213174,0,0.0,1.0,0.055015236231585954,1
15,371,0,1,45,0,3,0.28333333333333854,0.32148123873504836,0,1.0,0.0,0.0896920181603034,0
16,372,1,1,46,0,2,0.5833333333333357,0.3712928068163198,0,1.0,0.0,0.21071124369922656,1
17,373,1,1,35,1,2,0.7333333333333343,0.3645747992790431,0,1.0,0.0,0.21322969088213745,1
18,376,1,1,7,1,2,0.25,0.35236768802228413,0,1.0,0.0,0.2258366931370357,1
19,377,1,5,48,1,2,0.6000000000000014,0.33401605767655257,1,1.0,0.0,0.20322432978679275,0
20,378,1,1,33,0,2,0.31666666666667,0.3325413730951991,0,1.0,0.0,0.10892900582868657,1
21,379,1,1,27,0,2,0.75,0.3272161232180895,0,1.0,0.0,0.1986975517586653,0
22,380,1,1,24,1,2,0.5333333333333385,0.3268884155333443,0,1.0,0.0,0.1333494108057225,1
23,381,1,5,22,1,2,0.6000000000000014,0.3229559233164018,1,1.0,0.0,0.24241337869468466,1
24,383,1,1,24,1,2,0.8000000000000043,0.3176306734392922,0,1.0,0.0,0.1818959795378081,1
25,384,1,1,8,1,2,0.7166666666666686,0.31640176962149763,0,1.0,0.0,0.26471701840479855,1
26,385,1,1,49,1,2,0.6666666666666714,0.31386203506472227,0,1.0,0.0,0.21819815761166036,1
27,388,1,1,22,0,2,0.7166666666666686,0.3028019007045715,0,1.0,0.0,0.0958375130041438,1
28,389,1,1,24,1,2,0.8000000000000043,0.3006718007537277,0,1.0,0.0,0.1079258239937026,1
29,391,1,1,37,0,2,0.23333333333333428,0.29731279698508933,0,1.0,0.0,0.069314319367349,1
30,392,1,5,22,1,2,0.7166666666666686,0.2963296739308537,1,1.0,0.0,0.1634211309136136,1
31,393,1,5,6,1,2,0.31666666666667,0.2918236932656071,1,1.0,0.0,0.5740753845080228,1
32,394,1,1,46,0,2,0.7833333333333385,0.25356382107160413,0,1.0,0.0,0.07350242831381365,1
33,396,1,1,67,1,2,0.7833333333333385,0.2801900704571522,0,1.0,0.0,0.11879476190070702,0
34,399,1,3,27,0,2,0.7166666666666686,0.22710142552842866,0,1.0,0.0,0.04630988212382901,1
35,400,1,3,27,1,2,0.7000000000000028,0.26740947075208915,0,1.0,0.0,0.2154991239795225,0
36,401,1,1,7,1,2,0.4333333333333371,0.2647878092741275,0,1.0,0.0,0.17438689822060252,1
37,402,1,1,24,0,2,0.81666666666667,0.2650335900376864,0,1.0,0.0,0.12854462880382475,0
38,403,1,1,43,0,2,0.7666666666666728,0.2592987055546453,0,1.0,0.0,0.05899332387007118,1
39,404,1,1,36,1,2,0.6833333333333371,0.2566770440766836,1,1.0,0.0,0.3420971750168094,0
40,405,1,1,27,0,2,0.6785714285714306,0.2562674094707521,0,1.0,0.0,0.13090450305167575,0
41,407,1,3,8,0,2,0.7333333333333343,0.24807471735212192,0,1.0,0.0,0.26259284014394413,0
